	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54
27	0.00671	-68.1099	-0.18552	-0.00042	-0.00553	-0.00041	0.1235	60.93217	1.01735	0.00044	0.01509	0.00027	0.05406	6.83356	0.54856	4e-05	0.00756	-0.00046	-0.0241	15.61941	-0.32509	-9e-05	0.00514	0.00034	0.00892	126.1269	0.02958	0.00065	0.01933	0.00035	-0.11973	-48.27402	-0.72563	-0.00037	-0.01034	-0.00135	0.0259	132.45081	-0.124	0.00048	0.01753	0.00051	-0.00011	-39.15721	-0.3929	-0.00037	-0.00656	-0.00023	-0.0152	-87.83256	0.09117	-0.00051	-0.01625	0.00051
28	-0.02576	-44.88799	-0.19842	-0.00024	-0.00617	-0.00016	-0.06619	6.68143	-0.5483	0.00021	0.00253	-9e-05	0.02072	6.97144	-0.01449	-8e-05	0.00183	0.00012	-0.04851	-77.95578	-0.24124	-0.00054	-0.01087	0.00013	-0.02042	57.097	0.15084	0.00018	0.00619	0.00013	-0.04049	-106.92857	-0.46711	-0.00079	-0.01818	-0.00028	0.06707	-1.52624	0.40123	-0.0	0.00313	-9e-05	0.04011	16.76895	-0.03911	0.00029	0.0075	0.00014	-0.04869	53.29857	0.07818	0.00042	0.00909	-0.00052
29	0.0073	52.44708	0.1209	0.00034	0.00548	-9e-05	0.04127	35.27026	0.97753	0.00019	-6e-05	0.00014	-0.00144	28.89164	0.02211	0.00015	-0.00025	0.00029	0.02215	29.43013	0.41489	0.00027	0.00594	0.00012	0.00195	103.95984	0.14525	0.00043	0.00752	0.00037	-0.01009	72.10264	0.14089	0.00035	0.00869	-5e-05	-0.0034	39.36681	-0.02037	0.00015	-0.00286	2e-05	0.04564	50.39306	0.78054	0.00024	0.00372	0.00022	-1e-05	49.0259	-0.16828	0.00019	0.00416	0.00023
30	-0.06936	-14.13579	0.65657	-0.00033	-0.00849	-1e-05	-0.04839	69.49135	-0.20644	0.00011	0.00031	-5e-05	0.19443	-69.28609	0.88521	-0.0003	-0.00653	5e-05	0.33582	3.05275	0.9106	0.00051	0.02857	-0.00018	-0.14361	171.04769	-0.6153	0.0009	0.02432	-0.00011	-0.02544	-156.9349	-0.03666	-0.00111	-0.0352	3e-05	0.20619	50.65377	1.05653	0.00071	0.02655	0.00012	-0.00202	-179.19859	0.50514	-0.0012	-0.03902	-5e-05	-0.17717	34.77206	-0.72142	-0.0003	-0.01207	-2e-05
31	-0.07203	-9.83194	-0.2635	-6e-05	-0.00179	-0.00022	0.03621	31.77574	0.45464	0.00031	0.0054	-0.00014	0.02076	-58.94559	0.07988	-0.00021	-0.00385	2e-05	-0.01197	-12.37272	-0.04592	-2e-05	-0.00184	-8e-05	-0.03508	-25.5092	-0.43904	-0.00021	-0.0036	-0.00016	0.00655	-33.59544	0.11389	-0.00034	-0.00686	-0.00016	-0.02917	-7.0064	0.18054	-5e-05	-0.00203	0.00012	0.02915	0.10254	0.16008	-0.00017	-0.00261	0.00032	0.07715	40.85569	0.68325	0.00021	0.00538	0.00018
32	0.0294	18.23827	0.15916	-1e-05	0.0042	-7e-05	-0.13972	5.68589	-1.04183	-2e-05	0.00085	9e-05	0.06497	-40.42989	0.01277	-0.00011	-0.00119	-0.00023	0.01467	-7.00386	0.32378	0.00015	0.00214	0.00013	-0.09315	50.76374	-0.80829	0.00038	0.00765	0.0002	-0.00094	85.89587	-0.2764	0.00049	0.01376	8e-05	0.03631	-56.4179	0.50566	-0.00012	-0.00793	1e-05	0.02431	22.05748	0.32896	0.00012	0.00032	0.00038	-0.06708	-62.10665	-0.34152	-0.00043	-0.01303	0.00017
33	-0.00113	-9.2258	-0.04619	-0.0001	0.00111	-0.00011	-0.05773	6.57328	-0.46755	0.00028	0.00601	0.0	0.03196	16.21908	0.15046	-4e-05	0.00093	0.00013	-0.01973	-40.51413	0.08439	-0.00024	-0.00669	-0.00011	-0.02398	-0.45709	-0.23724	2e-05	0.00192	-9e-05	-0.00273	7.80843	-0.30254	9e-05	0.00382	-3e-05	0.02476	56.48439	0.27002	0.0004	0.00861	1e-05	-0.03297	-60.78308	-0.144	-0.00039	-0.01342	-0.00019	-0.03058	3.27411	-0.29756	4e-05	-0.00302	-0.00014
34	-0.0369	88.77046	-0.53255	0.00056	0.02073	7e-05	-0.10748	-47.20854	-1.17332	-0.00017	-0.00229	-0.00029	-0.03038	41.4246	0.1358	0.00018	0.00356	9e-05	0.01002	-30.95426	0.33677	-0.00022	-0.0064	-0.00023	-0.03496	-112.94443	-0.861	-0.00055	-0.0101	-0.0002	0.00222	-63.22287	-0.57039	-0.0002	-0.00273	0.0001	0.07245	61.23558	0.5983	0.0004	0.01255	0.00018	0.00683	14.41132	-0.28906	0.00016	0.00874	-0.00028	-0.03476	1.77367	-0.19974	0.00012	0.00516	-8e-05
35	0.04753	-23.3262	-0.00479	-4e-05	-0.0004	8e-05	-0.05476	-44.85763	-0.55916	-0.00022	0.00069	0.00027	0.02127	-33.58909	-0.05175	-0.00018	0.00037	-8e-05	0.04044	38.59358	0.4737	0.00031	0.00756	0.00011	-0.10466	41.44488	-0.5766	0.00021	0.00628	0.00023	-0.02895	-33.50309	-0.97341	-0.00034	-0.00282	-0.00021	0.01308	-85.71974	0.54827	-0.00036	-0.01088	7e-05	-0.09514	49.03808	-0.60814	0.00041	0.0082	-0.00029	-0.00369	63.90205	-0.19693	0.00042	0.01337	0.0001
36	-0.05768	4.46545	-0.26179	8e-05	0.0019	-0.00026	-0.02713	-28.0083	-0.50838	-0.00016	0.0031	6e-05	0.00689	-9.51046	0.35576	-0.00017	-0.00481	-0.00021	-0.04805	-36.61707	-0.68403	-0.00022	-0.00138	-0.00011	0.02216	-19.69026	0.43905	-0.00028	-0.0113	-9e-05	0.03886	37.50074	0.67464	0.00012	0.00187	-6e-05	-0.0666	13.67376	-0.72786	0.00019	0.00701	0.00021	-0.03642	46.14264	0.09555	0.00037	0.00561	7e-05	0.05522	-2.55492	0.4451	7e-05	0.00202	2e-05
37	-0.04351	-65.96369	-0.16412	-0.0005	-0.01411	0.00054	0.03338	92.958	0.41078	0.00027	0.00923	0.00054	0.03477	213.92053	0.0786	0.00109	0.03687	0.00159	-0.00328	-56.5275	-0.07687	-0.00033	-0.00976	0.0005	-0.05403	23.05717	-0.13223	-0.00017	-0.00452	0.00064	0.04445	133.05945	0.12346	0.00072	0.02383	0.00177	-0.02195	72.19251	-0.1247	0.00025	0.00828	0.00126	-0.00201	-44.03468	0.18175	-0.0005	-0.01267	0.00078	-0.02289	234.51402	-0.02383	0.00124	0.03568	0.00161
38	-0.01373	-25.76331	-0.10821	-0.00033	0.0011	0.0001	0.03971	-91.67268	-0.32714	-0.00049	-0.01235	0.00022	-0.03005	-91.87886	0.13821	-0.00097	-0.02591	-1e-05	-0.09488	124.51128	-0.04648	0.00044	0.014	-0.00014	-0.07528	66.70134	-0.59114	0.00068	0.01991	-4e-05	0.09352	-32.18774	-0.43378	6e-05	0.00858	-0.00011	0.04336	1.02575	0.18889	-0.00022	0.0059	-0.0004	0.14645	110.88774	1.1764	0.0004	0.01075	0.00036	-0.12776	24.59004	-0.7099	9e-05	0.00093	2e-05
39	0.0294	-91.71563	-0.00792	-0.00049	-0.0112	0.00021	-0.05595	13.18648	-0.06733	-8e-05	-0.00353	-0.00014	0.04288	-124.97962	-0.03491	-0.00066	-0.01642	-4e-05	0.02159	118.93101	0.08218	0.00072	0.0218	0.00029	0.00681	-138.42572	-0.18135	-0.00075	-0.01734	7e-05	-0.01981	-42.38263	-0.11681	-0.00016	-0.00524	-0.00022	-0.01376	6.9721	-0.26965	5e-05	0.0034	-5e-05	-0.03065	38.95629	0.0698	0.00053	0.00925	1e-05	-0.09075	-56.75932	-0.76067	-0.00027	-0.00425	8e-05
40	-0.09046	-39.37087	-0.89137	5e-05	0.00345	-8e-05	0.01476	14.64618	0.15443	-1e-05	-0.00059	0.00031	0.00487	10.38658	-0.20639	0.00016	0.00755	-0.00011	-0.03314	-36.93421	-0.49555	-0.0001	-0.00242	4e-05	-0.07144	-55.01098	-0.54559	-0.00018	-0.00772	-0.0001	-0.05867	12.35064	-0.61519	0.00013	0.00433	-9e-05	0.06895	-21.63014	0.5925	-0.00014	-0.00473	-8e-05	0.00275	-21.98108	-0.11407	-7e-05	0.00073	-5e-05	0.00581	-20.13068	0.06006	-0.00013	-0.00118	6e-05
41	-0.1229	-34.90472	-0.80322	-0.00028	-0.00912	-0.00015	-0.19277	-189.57017	-1.69455	-0.00091	-0.03005	0.00026	0.0087	112.65777	0.2804	0.00073	0.01118	-0.00034	0.18059	105.89211	1.4388	0.0007	0.02566	0.00039	-0.01208	-70.44671	-0.48632	-0.00047	-0.01222	0.0004	0.09233	-66.07606	0.64558	-0.00049	-0.01689	0.00018	-0.16072	68.12115	-0.9978	0.0006	0.01626	0.00023	0.10418	-39.02919	0.2936	-0.00023	-0.0001	-0.00026	-0.00137	27.49081	0.25608	0.00019	-0.00569	2e-05
42	-0.11941	32.74019	-0.70847	0.00047	0.0075	8e-05	-0.00323	14.00652	-0.48745	0.00013	0.00515	-8e-05	0.04969	-44.62944	0.14582	-6e-05	-0.00016	-6e-05	0.02391	-67.17571	0.01436	-0.00037	-0.00664	-0.00013	-0.12946	-57.95429	-0.6569	-0.00057	-0.01566	2e-05	-0.08507	-1.96044	-0.59295	-0.00013	-0.0029	-9e-05	0.06491	68.32683	0.86271	0.00036	0.00521	0.00018	-0.06542	-65.82524	-0.46005	-0.00054	-0.01649	-9e-05	-0.09354	2.05913	-0.37124	-0.00016	-0.00547	6e-05
43	-0.03381	-60.41676	-0.43109	-0.00038	-0.00675	-7e-05	-0.06525	-13.15685	-0.21481	-7e-05	-0.00058	-0.00014	0.01815	14.67131	-0.13185	0.0	0.0063	0.00041	-0.01249	-17.72589	-0.19949	0.00018	0.00234	-1e-05	-0.06166	-1.15081	-0.58665	0.00024	0.00717	7e-05	0.01011	3.2321	-0.19684	-2e-05	0.0009	1e-05	-0.0568	-76.69726	-0.29369	-0.00046	-0.01285	-0.00014	0.01831	-46.72479	0.18543	-0.00035	-0.01065	-1e-05	0.04015	25.79199	-0.05225	0.00012	0.00964	4e-05
44	0.0983	-37.95431	0.69144	-0.00027	-0.00405	2e-05	-0.11605	-28.82331	-0.98901	8e-05	0.00341	-0.0	-0.00644	-90.88723	-0.17631	-0.00046	-0.00779	0.00015	0.10418	10.51337	0.49054	-0.0	0.00407	0.00023	0.01639	95.462	0.03952	0.00057	0.01567	-0.00011	-0.06355	11.1182	-0.58555	0.00012	-0.00049	-0.00024	-0.00245	-9.95916	-0.0793	0.00029	0.00628	-0.00013	0.01035	4.32563	0.10866	5e-05	0.00263	1e-05	0.01594	-7.45721	-0.33173	0.0001	-1e-05	-0.00029
