	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40
22	-0.0017	0.00768	0.01035	0.00229	-0.00583	0.00464	0.01802	0.00901	0.00301	0.00056	-0.00448	0.00829	0.00944	0.00087	-0.00469	-0.00639	0.02312	0.00962	-0.00177	-0.00347	-0.00926	0.01788	0.01284	0.00285	0.00519	-0.00097	0.01417	0.00791	0.00151	-0.00453	-0.00211	0.01672	0.01346	0.0029	0.00484	0.00062	0.01682	0.00774	0.00551	-0.0053
23	-0.00281	0.00439	0.00528	0.0028	-0.0019	0.00258	0.00361	0.00379	0.00368	0.00354	-0.00276	0.00134	-0.00095	0.00355	-9e-05	-0.00094	0.00046	-0.00222	0.00326	-0.00069	-0.00118	0.00386	-6e-05	0.00451	-0.00018	-0.00057	0.00191	0.00217	0.00461	-0.00052	0.00337	0.00264	0.0025	0.00366	-0.00123	-0.0001	0.00034	0.0019	0.00394	0.00054
24	-0.00423	-0.00051	0.00434	0.00589	-0.00075	-0.00676	0.00152	0.00528	0.0046	0.00074	-0.00245	-0.00226	0.00394	0.00466	-0.00069	-0.00395	0.0013	0.0053	0.00444	-8e-05	-0.00237	-0.00098	0.00322	0.00364	-0.00083	-0.00141	-0.00099	0.00116	0.00661	-0.00075	0.00214	0.00238	0.00419	0.00496	-0.00043	-0.00068	-0.0004	0.00569	0.00568	0.0015
25	0.00371	0.00892	0.00298	0.0032	0.00304	0.00959	0.0157	0.00298	0.00362	0.00317	0.00673	0.03075	0.00899	0.0039	0.00587	0.0037	0.01023	0.00417	0.00133	0.00071	0.00544	0.01399	0.00521	0.00281	0.00061	0.00704	0.02618	0.01018	0.00508	0.00639	0.00571	0.0182	0.00774	0.00307	0.00441	0.0072	0.01162	0.00344	0.00342	0.00175
26	-0.00122	0.00193	0.00687	0.00398	-0.00474	-0.00293	0.00193	0.00989	0.00116	-0.0015	0.00295	0.00658	0.00939	0.00324	-0.00045	-0.00055	0.00221	0.0029	0.00304	-0.00971	-0.00217	0.00143	0.00918	-0.00038	0.00283	-0.00386	-0.00482	0.00818	0.00692	0.00328	0.00166	0.00728	0.00913	0.00366	0.00175	-0.00312	0.00202	0.00766	0.00151	0.00122
27	-0.00064	0.0018	0.01547	0.00412	0.00183	-0.00616	0.00333	0.01594	0.00387	0.00198	0.00097	0.00731	0.01691	0.00433	0.00033	0.00095	0.00219	0.0149	0.00338	0.00153	-0.00258	0.00345	0.01524	0.00391	-0.00208	-0.0	0.00085	0.01379	0.00202	-0.0035	0.00338	0.00207	0.01492	0.00408	0.00194	-0.00299	-0.00136	0.01251	0.00491	0.00076
28	-0.00258	0.00687	0.00283	0.00455	-0.00561	0.00268	0.00839	0.00596	0.00678	0.00205	-0.00307	0.00466	0.00037	0.00223	-0.00144	0.00138	0.00185	0.00461	0.00267	-0.00478	-0.00081	-0.00285	-2e-05	0.0024	0.00198	-0.00033	0.00351	0.00449	0.00254	0.0015	-0.0029	0.00409	-0.00305	0.00086	0.00022	0.00198	0.00437	0.0045	0.00613	0.00166
29	0.00086	0.00358	0.00182	0.00302	-0.00072	0.00675	0.00469	0.00874	0.00273	0.00101	0.00142	0.00606	0.00607	0.00304	-0.00255	0.00312	0.00184	0.00772	0.00406	0.00054	-0.00113	0.00428	0.00688	0.00384	-0.00051	0.00318	0.00321	0.0038	0.00411	-0.00146	0.004	0.00529	0.00532	0.00366	-0.00102	0.0048	0.00624	0.00197	0.00359	-0.00272
30	-0.00207	0.00942	0.00767	0.00408	0.0	-0.00617	0.00464	0.00594	0.0037	0.00071	0.00457	0.00218	0.00681	0.00605	-0.00381	0.00458	0.00079	0.00706	0.0058	-0.00139	-0.0045	0.00091	0.00635	0.00482	-0.00155	-0.00275	0.00361	0.00887	0.00343	-0.00292	0.00555	0.00748	0.00842	0.00687	0.00026	-0.0006	0.00576	0.00552	0.00708	-0.00012
31	0.00047	0.00601	0.00833	0.00184	-0.00118	0.00135	0.00116	0.00819	0.00355	-0.00245	0.00239	0.00104	0.0067	0.00211	-0.00199	0.00224	0.00337	0.0089	0.00397	0.00038	0.0016	0.00523	0.00622	0.00318	0.00059	-0.00624	0.00534	0.0086	0.00239	-0.00051	0.00314	0.0022	0.00699	0.006	-0.00209	0.00466	0.00316	0.0089	0.00493	-0.00015
32	0.00448	0.00124	0.00116	0.00182	-0.00266	0.00393	0.00266	0.00283	0.00358	0.00211	-0.00244	0.00754	0.00132	1e-05	0.00026	-0.0031	0.00431	0.00013	0.00124	-0.00197	0.00215	0.00344	-0.00196	0.00158	0.00038	0.00176	0.00425	-9e-05	0.00204	0.00147	0.00258	0.00166	0.00128	0.00279	0.00018	0.003	0.0014	0.00064	0.0034	-0.00158
33	-0.00242	-0.00444	0.00954	0.00231	0.00815	-0.01042	-0.00599	0.00781	0.00245	0.00251	0.00548	-0.00262	0.01605	0.00199	0.00597	0.00545	0.015	0.00775	0.00258	0.00195	-0.00279	-0.00058	0.00844	0.00394	0.00296	0.00363	-0.00394	0.01156	0.00185	0.00261	-0.00629	0.00477	0.00819	-0.00019	0.00094	0.0041	0.00218	0.00698	0.0043	0.00201
34	0.00067	0.00547	0.00556	0.00687	-5e-05	-0.00497	0.0031	0.0091	0.00792	-0.0007	-0.00108	0.00406	0.00576	0.00286	0.00149	-0.00089	0.00054	0.00726	0.00618	-0.00303	0.00019	0.00056	0.00653	0.00484	-0.00121	-0.00159	0.00086	0.00646	0.00535	-0.00119	-0.00046	0.00189	0.00994	0.00432	-0.00228	-0.00251	0.00115	0.00802	0.00513	7e-05
35	-0.00413	0.00431	0.00214	0.00283	-0.00406	-0.00086	-0.00236	-0.00179	0.0023	0.00015	-0.0035	-0.00102	-0.00262	0.00221	0.00032	0.00214	-0.00208	-0.00161	0.00645	0.001	0.00169	0.00292	-0.00077	0.00408	-0.00129	0.00336	0.00095	0.0036	0.0051	0.00389	0.00069	-0.00255	0.00122	0.00236	-0.00325	-0.00303	-0.00367	-0.00038	0.0021	-0.00188
36	0.00141	0.00977	0.0061	0.00318	1e-05	-9e-05	0.00804	0.00648	0.00033	-0.00146	-0.00609	0.00827	0.00655	-0.00086	-0.00079	-0.00534	0.00594	0.0074	0.00039	0.00062	-0.00111	0.00516	0.00688	0.00175	-0.00089	0.00194	0.00662	0.0092	0.00288	-0.00053	0.00418	0.00369	0.00753	0.00302	0.00101	0.00281	0.00695	0.00605	0.00387	0.00029
37	-0.00619	0.01223	0.00395	0.00652	-0.00025	0.00481	0.00977	0.0052	0.007	-0.0008	-0.01183	0.00172	0.00103	0.00623	-0.00298	0.00629	-0.00099	0.00812	0.00729	0.00059	-0.00281	0.00516	0.00392	0.00662	0.00153	0.00571	0.00063	0.00418	0.00755	0.00105	-0.00507	-0.00121	0.00468	0.00358	0.00773	0.00706	-0.00707	0.00337	0.00418	0.0014
38	-0.00061	-0.00262	0.00828	0.00234	-0.00089	-0.00256	0.00137	0.00713	0.00183	0.00043	0.00171	-0.00074	0.00686	0.00196	-0.00088	0.00163	0.00041	0.00808	0.00185	-0.00063	-0.00189	-0.00099	0.00816	0.00211	4e-05	-0.00272	0.00124	0.0067	0.00191	-0.00061	0.00086	-0.00149	0.00712	0.00359	-0.00038	0.00019	0.00028	0.00539	0.0031	0.00011
39	-0.00123	-0.01008	0.00769	0.00353	0.00548	-0.00165	-0.01063	0.00163	-0.00084	-0.0054	0.00285	0.00351	-0.00336	0.00213	-0.00551	0.00208	-0.00177	-0.00528	-0.00443	0.00182	-0.00051	0.00165	0.0077	0.00293	-0.00118	-0.00309	-0.00552	-0.00411	0.0068	0.00338	0.00498	0.01163	-0.01007	-0.00739	0.00162	-0.00339	-0.00733	-0.00225	0.00376	0.00034
40	0.0021	0.01421	0.00354	0.00243	0.0022	-0.00969	0.00475	0.00454	0.00237	0.0018	-0.00379	0.00852	0.00319	0.00612	0.00162	0.01139	0.00563	0.00014	0.00242	0.0023	0.00563	0.00556	-0.00125	0.00391	-0.00134	-0.0024	0.00344	0.00159	0.00404	0.00155	-0.00395	0.01103	0.00389	0.00423	0.00474	0.00634	0.02109	0.00274	0.00456	0.00105
41	-0.00361	0.00418	-4e-05	0.00343	0.00032	-0.00037	0.00328	0.00119	0.00085	0.00022	-0.00169	0.00411	0.00308	0.00443	0.00216	0.00291	0.0029	0.00238	0.00274	0.00135	-0.00015	0.00177	0.00313	0.00225	-0.00099	0.0037	0.00652	0.0001	0.00246	-0.00044	-0.00348	0.00316	0.00255	0.00379	0.00113	0.00337	0.00014	0.00055	0.00144	-0.00277
42	-0.00341	0.00223	0.00211	0.00529	-0.0003	-0.00618	0.00214	0.00418	0.00216	-0.0021	0.00359	0.00383	0.00896	0.00573	0.00054	0.00239	0.00222	0.0047	0.00451	0.00073	0.00088	-0.00044	0.00579	3e-05	1e-05	-0.00472	0.00154	0.00732	0.00347	-0.0006	0.00849	-0.00099	0.00222	0.0051	0.00263	0.00412	-0.00385	0.00765	0.00346	-0.00332
43	-0.00154	0.00294	0.00497	0.00137	0.00098	-0.00385	-0.00263	0.0079	0.00011	-0.00021	0.00163	-0.00013	0.00925	0.00059	0.0004	-0.001	0.00311	0.0116	-0.00157	0.00432	0.00347	0.00543	0.00449	0.00174	0.00181	-0.00471	-0.00078	-0.00188	0.0018	0.00067	-0.00356	-0.00012	0.01073	-0.00012	0.0034	-0.0012	-0.00175	0.00728	-3e-05	0.00406
44	0.00094	0.00246	0.00418	0.00317	-0.00088	0.00075	0.00447	0.00615	0.00525	-0.0013	-0.00398	0.00311	0.00412	0.00338	-0.0031	0.00527	0.00182	0.00857	0.00363	0.00101	-0.00012	-0.00163	0.00447	0.00432	-0.00317	0.00121	-0.00502	0.00405	0.00709	-0.00016	0.002	0.00173	0.00431	0.00364	-0.00145	0.00218	-0.00652	0.00688	0.00509	0.00255
45	-0.00309	-0.0016	0.00973	-0.0009	0.00539	-0.0106	-0.00496	0.01079	0.00062	-3e-05	0.00876	0.01156	0.01323	0.00112	-0.00018	0.00191	0.00453	0.0041	0.00546	-0.00288	-0.00592	-0.0051	0.01077	0.00135	-0.00059	-0.00323	0.00399	0.0074	-0.00493	0.00229	0.00913	0.00501	0.0106	0.00391	0.00272	0.00238	0.00013	0.00582	0.00484	0.00414
46	-0.0037	0.00569	0.0035	0.00282	0.00477	-0.00505	0.00339	0.0048	0.00507	0.00186	0.00337	0.00507	0.01072	0.0028	0.0042	0.00575	0.00808	0.00737	0.00089	0.00134	-0.00662	0.00229	7e-05	0.00442	-3e-05	-0.00384	-0.00145	0.00272	0.00615	-0.00199	0.01488	0.00015	0.00714	0.00759	-0.00551	-0.0004	0.00267	-0.00373	0.00355	-0.00261
47	0.00234	0.00243	0.01453	0.00267	-0.00136	-0.00281	0.00415	0.00879	0.00162	-0.00238	0.00536	0.00363	0.01208	0.00569	0.00138	0.00396	0.00046	0.0091	0.00363	-0.0018	0.00229	0.00404	0.00945	0.00396	-0.00507	-0.00214	0.0047	0.00889	0.00424	0.00413	0.00486	-0.00219	0.00897	0.00518	-0.00146	0.00221	-0.00371	0.0086	0.00645	0.00267
48	-0.01638	0.00522	0.00863	0.00622	0.00198	0.00857	0.00603	0.01164	0.00857	0.00126	-0.0028	0.00903	0.01209	0.00791	0.00139	0.00485	0.00176	0.00917	0.00935	0.00349	-0.00304	0.01006	0.00622	0.00986	0.00224	0.00565	0.00801	0.00047	0.00781	0.00108	-0.00179	0.00294	0.01923	0.00739	0.00179	0.0023	0.00637	-0.00135	0.00759	-0.00131
49	0.0001	0.00842	0.00259	0.00289	-0.00257	0.00282	0.00226	0.0026	0.00414	0.00048	-0.00746	0.0051	0.00463	0.00315	-0.00097	-0.0013	0.00565	0.00403	0.00166	0.00212	-0.00157	0.00612	0.00426	0.00382	-0.00161	0.00345	0.00784	0.00314	0.0038	-0.00118	0.00246	0.00266	0.0007	0.00367	0.00017	0.00462	0.00463	0.00292	0.00611	0.00238
50	-0.00146	0.00245	0.00828	0.00238	0.00172	-0.00615	-0.00296	0.00737	-0.00297	-0.00342	0.00336	-0.0001	0.00626	0.00356	-0.0018	-0.00175	0.00516	0.00625	0.00452	0.00437	-0.00626	0.00251	0.0046	0.00358	0.00147	0.00146	0.00115	0.0096	0.00375	0.00081	0.00099	0.00312	0.00558	0.00226	0.00054	-0.0011	-0.0026	0.00778	0.00294	-0.00056
51	0.00374	0.0011	0.0046	-0.00065	0.00049	-0.00607	0.00039	0.00839	0.00815	0.00303	0.00022	-0.00552	0.00944	0.00244	-0.00631	0.00604	-0.00146	0.01556	0.00522	-0.00141	0.00032	0.00541	0.00451	0.00395	-0.00466	0.00183	-0.00286	0.00773	0.00696	0.00287	0.00169	0.00455	0.00578	0.00646	0.00327	0.01321	0.00161	0.00818	0.00961	-0.00188
52	0.00498	-0.00162	0.00489	0.00288	0.0043	-0.00535	-0.00196	0.00132	0.0003	0.00547	0.00463	-6e-05	0.00778	0.00322	0.00387	0.0046	-2e-05	0.00308	-0.0009	-4e-05	-0.00526	-0.00087	0.00778	0.001	-0.00055	0.00032	0.00089	-0.00014	0.00495	0.00403	0.00821	-0.00375	-0.0039	0.00567	0.00301	-0.00101	0.00632	0.00539	-0.00204	-0.00252
53	0.0024	2e-05	0.00028	0.00502	0.00131	-0.00545	-0.00367	0.00662	0.00519	-0.00062	0.00321	-0.00198	-0.00234	0.00571	-0.00241	-0.00207	0.00026	0.00648	0.00384	-0.00031	-0.00228	0.00104	0.00918	0.00938	0.00562	-0.00431	-4e-05	0.00019	0.00633	0.00079	0.0029	-0.00278	0.00935	0.00698	0.00112	-0.00107	0.00238	0.00246	0.00527	-0.00237
54	-0.00083	0.00347	0.00429	0.00226	-0.00061	-0.00668	-0.00651	0.00882	0.00328	0.00225	-0.00112	0.00722	0.00658	0.00449	-0.00081	0.00227	0.00838	0.00548	0.00551	0.0023	-0.00225	0.00239	0.00229	0.00203	0.00189	-0.00298	-0.00185	0.00435	0.00659	-0.00204	-0.00529	0.0044	0.00205	0.0061	-0.0037	-0.00173	0.00254	0.00564	0.00222	-0.00126
55	-0.00322	0.00231	0.00918	0.00272	-0.00102	-0.00024	0.00606	0.00801	0.00284	-0.00295	-0.00475	0.01175	0.00447	0.00199	0.00069	-0.0027	0.00652	0.01049	0.00509	0.00121	-0.00173	0.00965	0.00748	0.00581	-0.0003	-0.00107	0.00777	0.00829	0.00456	0.00101	0.00102	0.00435	0.0078	0.00642	-0.00014	0.003	0.00986	0.00796	0.00408	0.00123
56	-0.00214	-0.0023	0.00278	-0.00285	0.00251	5e-05	-0.00424	0.00374	0.00194	0.00146	-0.00679	0.00375	0.0045	0.00048	0.0003	-0.00061	0.00502	0.00858	0.00277	0.00011	-0.00498	0.00039	0.00724	0.00492	0.00087	-0.00013	-0.00352	0.00183	0.00086	0.00139	0.0042	0.00344	0.00723	-0.00214	0.0015	0.00029	-0.00996	0.00524	0.00571	-0.00374
57	0.00443	0.00083	-0.00049	0.00132	-0.00072	-0.00059	-0.00182	0.00064	0.00336	0.00253	-0.00026	0.00663	0.00312	0.00473	0.00141	-0.00664	0.00431	0.0018	0.00619	-6e-05	-0.0007	-3e-05	0.00565	-0.00047	0.00211	-0.00201	0.00738	-0.00031	0.00462	0.00072	0.00382	0.00141	0.00132	0.00674	0.0009	-0.00436	0.0009	0.00344	0.00277	-0.00015
58	0.00087	0.00276	0.01134	0.00189	0.00195	0.00016	-0.00107	0.01188	0.00373	-0.00168	0.00101	0.00095	0.00994	-0.00084	-0.00073	0.00072	0.00362	0.01152	0.00467	0.0004	0.00074	0.00334	0.01032	0.00519	0.00217	-0.00606	0.00185	0.01137	0.00324	0.00076	0.00092	-0.00028	0.01202	0.00306	0.00044	0.00469	0.00113	0.01203	0.00235	0.00079
59	-0.0013	0.00608	0.00968	0.00292	0.00103	-0.00124	0.00289	0.01041	0.00474	0.00056	-0.0047	0.00657	0.01013	0.00272	0.00366	-0.00332	0.00637	0.00687	0.00215	0.00042	-0.00149	0.0042	0.01378	0.00349	0.00029	-0.00041	0.00106	0.00794	0.00307	-0.00112	0.00436	0.00575	0.01156	0.00189	0.00153	-0.00072	0.00121	0.0077	0.00191	0.00128
60	-0.00306	0.00196	0.00487	0.0059	0.00524	-0.00366	0.00218	0.00975	0.00504	0.00236	0.00174	0.00188	0.01013	0.00363	0.00186	-0.00084	0.00211	0.00282	0.00464	0.00426	-0.00172	0.00257	0.00909	0.00333	0.00514	-0.0042	-0.0003	0.00952	0.00166	0.00437	-0.00105	0.00584	0.0057	0.00612	-0.00181	-0.00475	0.00518	0.00813	0.0035	0.00425
61	-0.01664	0.0064	-0.00052	0.0002	0.00249	0.01077	0.00694	0.00165	0.00428	6e-05	-0.00192	-0.00275	-0.00132	0.00192	-0.00066	0.00138	0.00169	-0.00131	0.00102	-0.00163	-0.00034	-0.00313	0.00386	0.00427	0.00144	0.00602	0.00675	0.00054	0.00481	-0.00179	-0.00029	0.01081	0.00484	0.00391	-0.00323	0.00021	0.00208	0.00394	0.00684	-0.00231
62	-0.002	-0.00101	0.01626	0.00289	-0.00186	0.0007	0.00127	0.00974	0.00388	-0.00079	0.00528	0.00244	0.01011	0.00495	0.00273	-0.00171	0.00201	0.01302	0.00254	-0.00205	-0.003	0.001	0.01718	0.00229	-0.00128	0.00031	-0.00139	0.01793	0.00685	-0.00525	0.00226	0.00257	0.01633	0.0047	0.00074	0.00457	-0.00599	0.01235	0.00427	-0.00085
63	-0.00251	0.00048	0.00985	-0.00177	0.00194	0.00059	0.00571	0.01173	0.0031	0.00285	0.00716	0.00245	0.01482	-3e-05	-0.00205	0.01085	0.0035	0.01139	0.00298	0.00704	-0.00059	-0.00061	0.01426	0.00531	0.00049	-0.00199	0.00544	0.01335	-0.00076	0.0006	0.01362	0.00273	0.01106	0.00371	-0.00088	0.00168	0.00416	0.01078	0.00092	0.00133
