protein	class	lag	features
>10001	1	l8	0.00578,0.00294,0.01150,0.00107,0.03019,0.00294,0.01150,0.00107,0.03019,0.00578,0.01150,0.00107,0.03019,0.00578,0.00294,0.00107,0.03019,0.00578,0.00294,0.01150
>10002	1	l1	0.01466,-0.00316,-0.03298,-0.00373,0.00005,-0.00316,-0.03298,-0.00373,0.00005,0.01466,-0.03298,-0.00373,0.00005,0.01466,-0.00316,-0.00373,0.00005,0.01466,-0.00316,-0.03298
>10002	1	l2	0.02485,-0.00442,0.02067,0.01811,-0.00947,-0.00442,0.02067,0.01811,-0.00947,0.02485,0.02067,0.01811,-0.00947,0.02485,-0.00442,0.01811,-0.00947,0.02485,-0.00442,0.02067
>10002	1	l3	0.00719,0.02880,-0.02061,0.01665,0.00174,0.02880,-0.02061,0.01665,0.00174,0.00719,-0.02061,0.01665,0.00174,0.00719,0.02880,0.01665,0.00174,0.00719,0.02880,-0.02061
>10002	1	l4	-0.00087,-0.01608,-0.02719,-0.00055,0.00476,-0.01608,-0.02719,-0.00055,0.00476,-0.00087,-0.02719,-0.00055,0.00476,-0.00087,-0.01608,-0.00055,0.00476,-0.00087,-0.01608,-0.02719
>10002	1	l5	-0.00479,0.00004,0.02172,0.02200,-0.00137,0.00004,0.02172,0.02200,-0.00137,-0.00479,0.02172,0.02200,-0.00137,-0.00479,0.00004,0.02200,-0.00137,-0.00479,0.00004,0.02172
>10002	1	l6	0.00026,0.01020,-0.00167,-0.00764,-0.01712,0.01020,-0.00167,-0.00764,-0.01712,0.00026,-0.00167,-0.00764,-0.01712,0.00026,0.01020,-0.00764,-0.01712,0.00026,0.01020,-0.00167
>10002	1	l7	0.02023,-0.02855,0.02580,0.02272,0.00011,-0.02855,0.02580,0.02272,0.00011,0.02023,0.02580,0.02272,0.00011,0.02023,-0.02855,0.02272,0.00011,0.02023,-0.02855,0.02580
>10002	1	l8	0.01373,0.01034,0.00865,-0.01382,-0.01326,0.01034,0.00865,-0.01382,-0.01326,0.01373,0.00865,-0.01382,-0.01326,0.01373,0.01034,-0.01382,-0.01326,0.01373,0.01034,0.00865
>10003	1	l1	-0.01148,0.00138,0.00766,0.00418,-0.00352,0.00138,0.00766,0.00418,-0.00352,-0.01148,0.00766,0.00418,-0.00352,-0.01148,0.00138,0.00418,-0.00352,-0.01148,0.00138,0.00766
>10003	1	l2	-0.01308,-0.00623,-0.00572,-0.01327,0.00138,-0.00623,-0.00572,-0.01327,0.00138,-0.01308,-0.00572,-0.01327,0.00138,-0.01308,-0.00623,-0.01327,0.00138,-0.01308,-0.00623,-0.00572
>10003	1	l3	0.01730,-0.00022,0.01490,-0.00400,0.02257,-0.00022,0.01490,-0.00400,0.02257,0.01730,0.01490,-0.00400,0.02257,0.01730,-0.00022,-0.00400,0.02257,0.01730,-0.00022,0.01490
>10003	1	l4	-0.00921,-0.00689,0.01094,-0.00515,-0.00306,-0.00689,0.01094,-0.00515,-0.00306,-0.00921,0.01094,-0.00515,-0.00306,-0.00921,-0.00689,-0.00515,-0.00306,-0.00921,-0.00689,0.01094
>10003	1	l5	-0.01495,0.00893,0.00768,-0.01147,0.00953,0.00893,0.00768,-0.01147,0.00953,-0.01495,0.00768,-0.01147,0.00953,-0.01495,0.00893,-0.01147,0.00953,-0.01495,0.00893,0.00768
>10003	1	l6	0.00331,0.00203,0.01830,-0.00057,0.01379,0.00203,0.01830,-0.00057,0.01379,0.00331,0.01830,-0.00057,0.01379,0.00331,0.00203,-0.00057,0.01379,0.00331,0.00203,0.01830
>10003	1	l7	0.00774,-0.00304,0.02178,0.00475,-0.00321,-0.00304,0.02178,0.00475,-0.00321,0.00774,0.02178,0.00475,-0.00321,0.00774,-0.00304,0.00475,-0.00321,0.00774,-0.00304,0.02178
>10003	1	l8	-0.00685,-0.01140,-0.00342,-0.01538,-0.00002,-0.01140,-0.00342,-0.01538,-0.00002,-0.00685,-0.00342,-0.01538,-0.00002,-0.00685,-0.01140,-0.01538,-0.00002,-0.00685,-0.01140,-0.00342
>10004	1	l1	-0.01278,0.00727,0.00932,-0.00265,-0.00021,0.00727,0.00932,-0.00265,-0.00021,-0.01278,0.00932,-0.00265,-0.00021,-0.01278,0.00727,-0.00265,-0.00021,-0.01278,0.00727,0.00932
>10004	1	l2	-0.01891,-0.00952,0.00516,-0.00913,0.00842,-0.00952,0.00516,-0.00913,0.00842,-0.01891,0.00516,-0.00913,0.00842,-0.01891,-0.00952,-0.00913,0.00842,-0.01891,-0.00952,0.00516
>10004	1	l3	0.02410,0.00664,0.02636,0.00303,0.01838,0.00664,0.02636,0.00303,0.01838,0.02410,0.02636,0.00303,0.01838,0.02410,0.00664,0.00303,0.01838,0.02410,0.00664,0.02636
>10004	1	l4	-0.01623,0.00581,0.01299,-0.00497,0.00630,0.00581,0.01299,-0.00497,0.00630,-0.01623,0.01299,-0.00497,0.00630,-0.01623,0.00581,-0.00497,0.00630,-0.01623,0.00581,0.01299
>10004	1	l5	-0.03260,0.00141,0.01091,-0.01789,0.01364,0.00141,0.01091,-0.01789,0.01364,-0.03260,0.01091,-0.01789,0.01364,-0.03260,0.00141,-0.01789,0.01364,-0.03260,0.00141,0.01091
>10004	1	l6	0.02101,0.01162,0.02192,-0.01126,0.01078,0.01162,0.02192,-0.01126,0.01078,0.02101,0.02192,-0.01126,0.01078,0.02101,0.01162,-0.01126,0.01078,0.02101,0.01162,0.02192
>10004	1	l7	0.01262,0.00416,0.03761,0.01081,0.03025,0.00416,0.03761,0.01081,0.03025,0.01262,0.03761,0.01081,0.03025,0.01262,0.00416,0.01081,0.03025,0.01262,0.00416,0.03761
>10004	1	l8	-0.03943,-0.02136,0.00186,0.00812,-0.00139,-0.02136,0.00186,0.00812,-0.00139,-0.03943,0.00186,0.00812,-0.00139,-0.03943,-0.02136,0.00812,-0.00139,-0.03943,-0.02136,0.00186
>10007	1	l1	0.00750,-0.00449,0.00204,0.00920,-0.00034,-0.00449,0.00204,0.00920,-0.00034,0.00750,0.00204,0.00920,-0.00034,0.00750,-0.00449,0.00920,-0.00034,0.00750,-0.00449,0.00204
>10007	1	l2	0.00841,-0.01060,0.00994,-0.00829,-0.01416,-0.01060,0.00994,-0.00829,-0.01416,0.00841,0.00994,-0.00829,-0.01416,0.00841,-0.01060,-0.00829,-0.01416,0.00841,-0.01060,0.00994
>10007	1	l3	-0.01547,-0.00520,0.00930,0.00226,-0.01076,-0.00520,0.00930,0.00226,-0.01076,-0.01547,0.00930,0.00226,-0.01076,-0.01547,-0.00520,0.00226,-0.01076,-0.01547,-0.00520,0.00930
>10007	1	l4	-0.02985,0.00221,0.01281,0.00820,-0.00785,0.00221,0.01281,0.00820,-0.00785,-0.02985,0.01281,0.00820,-0.00785,-0.02985,0.00221,0.00820,-0.00785,-0.02985,0.00221,0.01281
>10007	1	l5	0.00236,0.01391,0.00871,-0.00155,-0.01900,0.01391,0.00871,-0.00155,-0.01900,0.00236,0.00871,-0.00155,-0.01900,0.00236,0.01391,-0.00155,-0.01900,0.00236,0.01391,0.00871
>10007	1	l6	0.00138,-0.00567,0.01215,-0.00710,0.01297,-0.00567,0.01215,-0.00710,0.01297,0.00138,0.01215,-0.00710,0.01297,0.00138,-0.00567,-0.00710,0.01297,0.00138,-0.00567,0.01215
>10007	1	l7	0.01207,0.00544,0.01419,0.00320,0.02073,0.00544,0.01419,0.00320,0.02073,0.01207,0.01419,0.00320,0.02073,0.01207,0.00544,0.00320,0.02073,0.01207,0.00544,0.01419
>10007	1	l8	-0.00234,-0.00594,0.01289,0.00577,0.00561,-0.00594,0.01289,0.00577,0.00561,-0.00234,0.01289,0.00577,0.00561,-0.00234,-0.00594,0.00577,0.00561,-0.00234,-0.00594,0.01289
>10008	1	l1	0.01731,-0.00505,-0.00372,-0.00537,-0.01107,-0.00505,-0.00372,-0.00537,-0.01107,0.01731,-0.00372,-0.00537,-0.01107,0.01731,-0.00505,-0.00537,-0.01107,0.01731,-0.00505,-0.00372
>10008	1	l2	0.02297,0.00436,0.00648,-0.00132,0.00077,0.00436,0.00648,-0.00132,0.00077,0.02297,0.00648,-0.00132,0.00077,0.02297,0.00436,-0.00132,0.00077,0.02297,0.00436,0.00648
>10008	1	l3	0.00308,-0.00516,-0.00581,-0.01354,0.01052,-0.00516,-0.00581,-0.01354,0.01052,0.00308,-0.00581,-0.01354,0.01052,0.00308,-0.00516,-0.01354,0.01052,0.00308,-0.00516,-0.00581
>10008	1	l4	0.00417,0.00179,0.01780,0.02618,-0.00637,0.00179,0.01780,0.02618,-0.00637,0.00417,0.01780,0.02618,-0.00637,0.00417,0.00179,0.02618,-0.00637,0.00417,0.00179,0.01780
>10008	1	l5	0.00467,0.01397,-0.00155,-0.02559,-0.01548,0.01397,-0.00155,-0.02559,-0.01548,0.00467,-0.00155,-0.02559,-0.01548,0.00467,0.01397,-0.02559,-0.01548,0.00467,0.01397,-0.00155
>10008	1	l6	0.02761,0.03110,0.00636,0.01541,0.02761,0.03110,0.00636,0.01541,0.02761,0.02761,0.00636,0.01541,0.02761,0.02761,0.03110,0.01541,0.02761,0.02761,0.03110,0.00636
>10008	1	l7	-0.00127,-0.01740,0.00729,-0.00266,-0.01157,-0.01740,0.00729,-0.00266,-0.01157,-0.00127,0.00729,-0.00266,-0.01157,-0.00127,-0.01740,-0.00266,-0.01157,-0.00127,-0.01740,0.00729
>10008	1	l8	0.01343,0.00655,0.01178,0.00523,0.01417,0.00655,0.01178,0.00523,0.01417,0.01343,0.01178,0.00523,0.01417,0.01343,0.00655,0.00523,0.01417,0.01343,0.00655,0.01178
>10009	1	l1	-0.00355,-0.00277,0.01593,0.00057,0.01053,-0.00277,0.01593,0.00057,0.01053,-0.00355,0.01593,0.00057,0.01053,-0.00355,-0.00277,0.00057,0.01053,-0.00355,-0.00277,0.01593
>10009	1	l2	0.00178,0.00990,0.00703,-0.00892,-0.00601,0.00990,0.00703,-0.00892,-0.00601,0.00178,0.00703,-0.00892,-0.00601,0.00178,0.00990,-0.00892,-0.00601,0.00178,0.00990,0.00703
>10009	1	l3	0.01519,-0.02284,-0.00216,0.01128,-0.01174,-0.02284,-0.00216,0.01128,-0.01174,0.01519,-0.00216,0.01128,-0.01174,0.01519,-0.02284,0.01128,-0.01174,0.01519,-0.02284,-0.00216
>10009	1	l4	-0.00627,-0.00627,-0.01282,-0.01793,-0.02797,-0.00627,-0.01282,-0.01793,-0.02797,-0.00627,-0.01282,-0.01793,-0.02797,-0.00627,-0.00627,-0.01793,-0.02797,-0.00627,-0.00627,-0.01282
>10009	1	l5	0.00151,-0.01497,-0.00967,-0.00461,-0.00430,-0.01497,-0.00967,-0.00461,-0.00430,0.00151,-0.00967,-0.00461,-0.00430,0.00151,-0.01497,-0.00461,-0.00430,0.00151,-0.01497,-0.00967
>10009	1	l6	-0.01708,0.01127,-0.00237,-0.00196,0.00875,0.01127,-0.00237,-0.00196,0.00875,-0.01708,-0.00237,-0.00196,0.00875,-0.01708,0.01127,-0.00196,0.00875,-0.01708,0.01127,-0.00237
>10009	1	l7	0.00994,-0.00493,0.01866,0.00258,0.01889,-0.00493,0.01866,0.00258,0.01889,0.00994,0.01866,0.00258,0.01889,0.00994,-0.00493,0.00258,0.01889,0.00994,-0.00493,0.01866
>10009	1	l8	-0.02235,0.00271,0.00103,0.02177,0.01403,0.00271,0.00103,0.02177,0.01403,-0.02235,0.00103,0.02177,0.01403,-0.02235,0.00271,0.02177,0.01403,-0.02235,0.00271,0.00103
>10010	1	l1	0.00814,-0.01757,0.00780,0.00354,-0.00833,-0.01757,0.00780,0.00354,-0.00833,0.00814,0.00780,0.00354,-0.00833,0.00814,-0.01757,0.00354,-0.00833,0.00814,-0.01757,0.00780
>10010	1	l2	-0.01571,-0.00236,0.00163,0.00711,-0.03213,-0.00236,0.00163,0.00711,-0.03213,-0.01571,0.00163,0.00711,-0.03213,-0.01571,-0.00236,0.00711,-0.03213,-0.01571,-0.00236,0.00163
>10010	1	l3	0.02283,0.02466,0.01246,0.01181,0.03105,0.02466,0.01246,0.01181,0.03105,0.02283,0.01246,0.01181,0.03105,0.02283,0.02466,0.01181,0.03105,0.02283,0.02466,0.01246
>10010	1	l4	0.01165,-0.01498,-0.00231,-0.00162,0.00385,-0.01498,-0.00231,-0.00162,0.00385,0.01165,-0.00231,-0.00162,0.00385,0.01165,-0.01498,-0.00162,0.00385,0.01165,-0.01498,-0.00231
>10010	1	l5	-0.00778,-0.00191,-0.00668,0.00347,-0.04295,-0.00191,-0.00668,0.00347,-0.04295,-0.00778,-0.00668,0.00347,-0.04295,-0.00778,-0.00191,0.00347,-0.04295,-0.00778,-0.00191,-0.00668
>10010	1	l6	-0.01729,0.00354,0.00222,0.01659,0.01730,0.00354,0.00222,0.01659,0.01730,-0.01729,0.00222,0.01659,0.01730,-0.01729,0.00354,0.01659,0.01730,-0.01729,0.00354,0.00222
>10010	1	l7	-0.01002,-0.01039,0.00106,0.00212,0.02117,-0.01039,0.00106,0.00212,0.02117,-0.01002,0.00106,0.00212,0.02117,-0.01002,-0.01039,0.00212,0.02117,-0.01002,-0.01039,0.00106
>10010	1	l8	-0.00595,-0.00288,-0.01306,0.00245,-0.02878,-0.00288,-0.01306,0.00245,-0.02878,-0.00595,-0.01306,0.00245,-0.02878,-0.00595,-0.00288,0.00245,-0.02878,-0.00595,-0.00288,-0.01306
>10011	1	l1	-0.02484,0.01653,0.01881,-0.00723,0.01866,0.01653,0.01881,-0.00723,0.01866,-0.02484,0.01881,-0.00723,0.01866,-0.02484,0.01653,-0.00723,0.01866,-0.02484,0.01653,0.01881
>10011	1	l2	0.01495,-0.00402,0.00501,-0.01356,0.00967,-0.00402,0.00501,-0.01356,0.00967,0.01495,0.00501,-0.01356,0.00967,0.01495,-0.00402,-0.01356,0.00967,0.01495,-0.00402,0.00501
>10011	1	l3	-0.01220,-0.01270,0.00210,-0.01453,-0.02654,-0.01270,0.00210,-0.01453,-0.02654,-0.01220,0.00210,-0.01453,-0.02654,-0.01220,-0.01270,-0.01453,-0.02654,-0.01220,-0.01270,0.00210
>10011	1	l4	-0.00211,0.03947,-0.00805,-0.00672,-0.03609,0.03947,-0.00805,-0.00672,-0.03609,-0.00211,-0.00805,-0.00672,-0.03609,-0.00211,0.03947,-0.00672,-0.03609,-0.00211,0.03947,-0.00805
>10011	1	l5	0.00577,0.04792,-0.03740,0.04160,-0.02221,0.04792,-0.03740,0.04160,-0.02221,0.00577,-0.03740,0.04160,-0.02221,0.00577,0.04792,0.04160,-0.02221,0.00577,0.04792,-0.03740
>10011	1	l6	-0.00820,0.00251,-0.02865,-0.02066,-0.02006,0.00251,-0.02865,-0.02066,-0.02006,-0.00820,-0.02865,-0.02066,-0.02006,-0.00820,0.00251,-0.02066,-0.02006,-0.00820,0.00251,-0.02865
>10011	1	l7	0.03257,-0.00123,0.00980,0.00235,0.00343,-0.00123,0.00980,0.00235,0.00343,0.03257,0.00980,0.00235,0.00343,0.03257,-0.00123,0.00235,0.00343,0.03257,-0.00123,0.00980
>10011	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
>10012	1	l1	-0.00486,0.06287,0.00024,-0.01665,0.00129,0.06287,0.00024,-0.01665,0.00129,-0.00486,0.00024,-0.01665,0.00129,-0.00486,0.06287,-0.01665,0.00129,-0.00486,0.06287,0.00024
>10012	1	l2	0.00703,-0.00220,-0.00075,0.01456,-0.01472,-0.00220,-0.00075,0.01456,-0.01472,0.00703,-0.00075,0.01456,-0.01472,0.00703,-0.00220,0.01456,-0.01472,0.00703,-0.00220,-0.00075
>10012	1	l3	-0.00084,-0.03815,0.00226,0.00271,-0.02234,-0.03815,0.00226,0.00271,-0.02234,-0.00084,0.00226,0.00271,-0.02234,-0.00084,-0.03815,0.00271,-0.02234,-0.00084,-0.03815,0.00226
>10012	1	l4	0.00490,-0.05444,-0.01018,0.03638,-0.02687,-0.05444,-0.01018,0.03638,-0.02687,0.00490,-0.01018,0.03638,-0.02687,0.00490,-0.05444,0.03638,-0.02687,0.00490,-0.05444,-0.01018
>10012	1	l5	0.00775,-0.06609,0.01800,-0.03797,0.04128,-0.06609,0.01800,-0.03797,0.04128,0.00775,0.01800,-0.03797,0.04128,0.00775,-0.06609,-0.03797,0.04128,0.00775,-0.06609,0.01800
>10012	1	l6	-0.01371,-0.05538,-0.03881,0.03373,0.03637,-0.05538,-0.03881,0.03373,0.03637,-0.01371,-0.03881,0.03373,0.03637,-0.01371,-0.05538,0.03373,0.03637,-0.01371,-0.05538,-0.03881
>10012	1	l7	-0.00319,-0.01087,-0.07672,-0.00433,-0.00614,-0.01087,-0.07672,-0.00433,-0.00614,-0.00319,-0.07672,-0.00433,-0.00614,-0.00319,-0.01087,-0.00433,-0.00614,-0.00319,-0.01087,-0.07672
>10012	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
>10013	1	l1	-0.02969,-0.00239,0.01837,-0.01008,-0.01286,-0.00239,0.01837,-0.01008,-0.01286,-0.02969,0.01837,-0.01008,-0.01286,-0.02969,-0.00239,-0.01008,-0.01286,-0.02969,-0.00239,0.01837
>10013	1	l2	0.01795,-0.00592,0.00600,-0.00977,0.02225,-0.00592,0.00600,-0.00977,0.02225,0.01795,0.00600,-0.00977,0.02225,0.01795,-0.00592,-0.00977,0.02225,0.01795,-0.00592,0.00600
>10013	1	l3	-0.03220,-0.00883,0.00028,-0.01396,-0.01002,-0.00883,0.00028,-0.01396,-0.01002,-0.03220,0.00028,-0.01396,-0.01002,-0.03220,-0.00883,-0.01396,-0.01002,-0.03220,-0.00883,0.00028
>10013	1	l4	0.01898,-0.00530,-0.00956,-0.01680,-0.02138,-0.00530,-0.00956,-0.01680,-0.02138,0.01898,-0.00956,-0.01680,-0.02138,0.01898,-0.00530,-0.01680,-0.02138,0.01898,-0.00530,-0.00956
>10013	1	l5	-0.01233,0.05232,-0.03708,0.04552,-0.00532,0.05232,-0.03708,0.04552,-0.00532,-0.01233,-0.03708,0.04552,-0.00532,-0.01233,0.05232,0.04552,-0.00532,-0.01233,0.05232,-0.03708
>10013	1	l6	-0.00820,0.00251,-0.02865,-0.02066,-0.02006,0.00251,-0.02865,-0.02066,-0.02006,-0.00820,-0.02865,-0.02066,-0.02006,-0.00820,0.00251,-0.02066,-0.02006,-0.00820,0.00251,-0.02865
>10013	1	l7	0.03257,-0.00123,0.00980,0.00235,0.00343,-0.00123,0.00980,0.00235,0.00343,0.03257,0.00980,0.00235,0.00343,0.03257,-0.00123,0.00235,0.00343,0.03257,-0.00123,0.00980
>10013	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
>10014	1	l1	-0.02054,0.01181,0.01164,-0.00749,0.00936,0.01181,0.01164,-0.00749,0.00936,-0.02054,0.01164,-0.00749,0.00936,-0.02054,0.01181,-0.00749,0.00936,-0.02054,0.01181,0.01164
>10014	1	l2	0.01649,-0.01004,0.01469,-0.01347,0.00450,-0.01004,0.01469,-0.01347,0.00450,0.01649,0.01469,-0.01347,0.00450,0.01649,-0.01004,-0.01347,0.00450,0.01649,-0.01004,0.01469
>10014	1	l3	-0.01450,-0.01121,0.02570,-0.01440,-0.04207,-0.01121,0.02570,-0.01440,-0.04207,-0.01450,0.02570,-0.01440,-0.04207,-0.01450,-0.01121,-0.01440,-0.04207,-0.01450,-0.01121,0.02570
>10014	1	l4	-0.01175,0.03979,0.00223,-0.00642,-0.02514,0.03979,0.00223,-0.00642,-0.02514,-0.01175,0.00223,-0.00642,-0.02514,-0.01175,0.03979,-0.00642,-0.02514,-0.01175,0.03979,0.00223
>10014	1	l5	0.02407,0.04917,0.02814,0.04166,-0.00439,0.04917,0.02814,0.04166,-0.00439,0.02407,0.02814,0.04166,-0.00439,0.02407,0.04917,0.04166,-0.00439,0.02407,0.04917,0.02814
>10014	1	l6	-0.03137,-0.01479,0.03639,-0.02182,-0.00103,-0.01479,0.03639,-0.02182,-0.00103,-0.03137,0.03639,-0.02182,-0.00103,-0.03137,-0.01479,-0.02182,-0.00103,-0.03137,-0.01479,0.03639
>10014	1	l7	0.06238,0.00132,-0.01138,0.00302,0.03621,0.00132,-0.01138,0.00302,0.03621,0.06238,-0.01138,0.00302,0.03621,0.06238,0.00132,0.00302,0.03621,0.06238,0.00132,-0.01138
>10014	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
>10015	1	l1	-0.04062,0.01773,0.01098,-0.00863,0.01075,0.01773,0.01098,-0.00863,0.01075,-0.04062,0.01098,-0.00863,0.01075,-0.04062,0.01773,-0.00863,0.01075,-0.04062,0.01773,0.01098
>10015	1	l2	0.02053,-0.00428,0.01470,-0.01512,-0.01792,-0.00428,0.01470,-0.01512,-0.01792,0.02053,0.01470,-0.01512,-0.01792,0.02053,-0.00428,-0.01512,-0.01792,0.02053,-0.00428,0.01470
>10015	1	l3	0.01027,-0.01276,0.00615,-0.01794,-0.00787,-0.01276,0.00615,-0.01794,-0.00787,0.01027,0.00615,-0.01794,-0.00787,0.01027,-0.01276,-0.01794,-0.00787,0.01027,-0.01276,0.00615
>10015	1	l4	-0.04211,0.03927,0.01616,-0.00730,-0.00759,0.03927,0.01616,-0.00730,-0.00759,-0.04211,0.01616,-0.00730,-0.00759,-0.04211,0.03927,-0.00730,-0.00759,-0.04211,0.03927,0.01616
>10015	1	l5	0.05076,0.05037,-0.01605,0.05274,0.00484,0.05037,-0.01605,0.05274,0.00484,0.05076,-0.01605,0.05274,0.00484,0.05076,0.05037,0.05274,0.00484,0.05076,0.05037,-0.01605
>10015	1	l6	-0.05162,0.00224,-0.03386,-0.02554,0.01488,0.00224,-0.03386,-0.02554,0.01488,-0.05162,-0.03386,-0.02554,0.01488,-0.05162,0.00224,-0.02554,0.01488,-0.05162,0.00224,-0.03386
>10015	1	l7	0.03257,-0.00123,0.00980,0.00235,0.00343,-0.00123,0.00980,0.00235,0.00343,0.03257,0.00980,0.00235,0.00343,0.03257,-0.00123,0.00235,0.00343,0.03257,-0.00123,0.00980
>10015	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
>10016	1	l1	-0.00745,-0.00628,-0.02420,-0.00026,0.00252,-0.00628,-0.02420,-0.00026,0.00252,-0.00745,-0.02420,-0.00026,0.00252,-0.00745,-0.00628,-0.00026,0.00252,-0.00745,-0.00628,-0.02420
>10016	1	l2	-0.00591,0.00122,-0.01144,0.00740,0.02184,0.00122,-0.01144,0.00740,0.02184,-0.00591,-0.01144,0.00740,0.02184,-0.00591,0.00122,0.00740,0.02184,-0.00591,0.00122,-0.01144
>10016	1	l3	0.00929,-0.00374,0.01639,0.00782,0.00541,-0.00374,0.01639,0.00782,0.00541,0.00929,0.01639,0.00782,0.00541,0.00929,-0.00374,0.00782,0.00541,0.00929,-0.00374,0.01639
>10016	1	l4	-0.00336,-0.00409,-0.02778,-0.00182,0.00184,-0.00409,-0.02778,-0.00182,0.00184,-0.00336,-0.02778,-0.00182,0.00184,-0.00336,-0.00409,-0.00182,0.00184,-0.00336,-0.00409,-0.02778
>10016	1	l5	0.01144,-0.00199,0.00980,-0.00576,0.00670,-0.00199,0.00980,-0.00576,0.00670,0.01144,0.00980,-0.00576,0.00670,0.01144,-0.00199,-0.00576,0.00670,0.01144,-0.00199,0.00980
