protein	class	lag	features
>10033	1	l4	-0.01629,-0.01584,0.01019,-0.01015,0.00475
>10033	1	l5	-0.01627,-0.00012,0.00818,-0.00222,0.02911
>10033	1	l6	0.00801,-0.01513,-0.00732,0.00334,0.00098
>10033	1	l7	0.00444,0.01925,-0.00130,-0.00720,-0.00742
>10033	1	l8	0.01150,-0.03326,0.00104,0.02867,0.01003
>10034	1	l1	-0.00516,-0.01362,-0.02788,-0.03113,0.00879
>10034	1	l2	0.00471,0.01276,-0.01009,0.03377,-0.01128
>10034	1	l3	-0.00780,-0.00175,0.02483,-0.02872,0.01110
>10034	1	l4	0.01168,0.00537,-0.02894,0.02838,0.01722
>10034	1	l5	-0.02965,-0.00761,0.01588,-0.02532,0.01090
>10034	1	l6	-0.00837,0.01379,0.04709,0.01660,-0.02895
>10034	1	l7	-0.00683,-0.02055,-0.06394,-0.01376,0.00281
>10034	1	l8	0.00767,0.01643,0.03173,-0.00168,0.03188
>10035	1	l1	0.01884,0.00582,-0.00168,-0.00789,0.02836
>10035	1	l2	0.01604,0.02994,-0.00021,0.00697,0.01572
>10035	1	l3	0.01844,0.00629,0.02214,0.00161,0.00085
>10035	1	l4	0.02303,-0.00986,-0.01306,0.00030,0.01789
>10035	1	l5	0.02458,-0.00699,-0.01405,-0.00391,0.03888
>10035	1	l6	0.02046,-0.07092,0.00801,-0.00168,0.04183
>10035	1	l7	0.03274,0.00260,0.00124,-0.00329,0.02405
>10035	1	l8	0.02086,-0.04917,0.04664,-0.00263,0.00357
>10036	1	l1	-0.02427,-0.01631,-0.00120,-0.00585,0.01184
>10036	1	l2	0.01024,-0.00062,-0.00125,0.01773,0.00537
>10036	1	l3	0.00420,-0.00174,0.00024,0.00188,0.00922
>10036	1	l4	-0.01669,0.00912,0.00301,-0.01741,0.02566
>10036	1	l5	0.01225,-0.00985,0.00981,0.01439,0.00948
>10036	1	l6	-0.00502,-0.02014,-0.00240,-0.01214,0.03852
>10036	1	l7	0.00695,0.03469,0.00033,0.01204,0.01268
>10036	1	l8	-0.02150,-0.01138,0.00221,0.00701,-0.00484
>10037	1	l1	0.01037,0.00767,-0.00755,0.02555,0.02409
>10037	1	l2	-0.00068,0.01706,-0.00220,-0.00971,-0.00249
>10037	1	l3	0.00031,0.02338,0.00356,-0.02792,-0.01948
>10037	1	l4	0.00535,0.00792,0.00290,-0.02052,-0.02356
>10037	1	l5	0.00651,0.02510,0.00462,0.00103,-0.01155
>10037	1	l6	-0.00083,0.01602,-0.00858,0.00021,0.00112
>10037	1	l7	-0.01385,0.02037,0.00024,-0.00103,0.03608
>10037	1	l8	-0.00945,0.02843,0.01237,0.01502,0.02374
>10038	1	l1	0.00874,0.00717,-0.00874,0.02649,0.02661
>10038	1	l2	0.00422,0.01693,-0.00091,-0.01201,-0.00362
>10038	1	l3	-0.00062,0.02478,0.00366,-0.02806,-0.02150
>10038	1	l4	-0.00067,0.00739,0.00298,-0.01713,-0.02549
>10038	1	l5	0.00466,0.02601,0.00467,0.00283,-0.01637
>10038	1	l6	-0.00615,0.01590,-0.00852,0.00233,-0.00213
>10038	1	l7	-0.00681,0.02217,0.00087,-0.00240,0.03595
>10038	1	l8	0.00003,0.03006,0.01206,0.01422,0.02754
>10040	1	l1	0.01244,0.01969,-0.00206,0.00537,0.00320
>10040	1	l2	-0.01489,0.00996,0.05029,-0.00775,0.00738
>10040	1	l3	-0.03501,0.00693,0.00029,-0.00500,0.01457
>10040	1	l4	-0.02187,0.00681,0.04629,-0.00697,-0.01476
>10040	1	l5	0.00503,0.01424,0.01862,0.01101,-0.00964
>10040	1	l6	0.03705,0.01860,0.04771,0.02087,-0.00022
>10040	1	l7	0.00953,-0.02011,-0.00267,0.00636,0.01747
>10040	1	l8	0.00269,-0.02332,0.03237,-0.00268,-0.00380
>10043	1	l1	-0.00849,0.02561,0.02519,-0.01864,-0.00562
>10043	1	l2	-0.02578,-0.04363,0.00648,0.02149,-0.03747
>10043	1	l3	0.01652,-0.04983,0.00066,0.04290,0.00740
>10043	1	l4	0.00000,0.00000,0.00000,0.00000,0.00000
>10043	1	l5	0.00000,0.00000,0.00000,0.00000,0.00000
>10043	1	l6	0.00000,0.00000,0.00000,0.00000,0.00000
>10043	1	l7	0.00000,0.00000,0.00000,0.00000,0.00000
>10043	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10044	1	l1	0.00281,0.02999,0.00109,0.01461,0.06311
>10044	1	l2	-0.02495,0.02699,0.00151,0.01538,0.06684
>10044	1	l3	-0.01863,0.01999,0.00280,0.02587,0.08193
>10044	1	l4	0.00000,0.00000,0.00000,0.00000,0.00000
>10044	1	l5	0.00000,0.00000,0.00000,0.00000,0.00000
>10044	1	l6	0.00000,0.00000,0.00000,0.00000,0.00000
>10044	1	l7	0.00000,0.00000,0.00000,0.00000,0.00000
>10044	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10049	1	l1	-0.00076,0.03448,0.00607,-0.00457,0.01497
>10049	1	l2	-0.03076,0.02475,-0.01181,-0.00084,-0.01501
>10049	1	l3	0.00992,0.06256,0.00100,-0.01069,-0.01430
>10049	1	l4	0.02037,0.04170,0.00753,-0.03017,-0.00923
>10049	1	l5	-0.01513,0.00515,0.00351,0.04306,0.01716
>10049	1	l6	-0.03024,0.04083,-0.00110,0.00310,-0.02499
>10049	1	l7	0.01124,0.03903,-0.00516,-0.00287,-0.05394
>10049	1	l8	0.02653,-0.01063,0.02180,-0.02166,-0.01489
>10051	1	l1	-0.00944,-0.02421,-0.00612,0.01322,-0.00534
>10051	1	l2	0.00498,-0.00206,-0.04637,-0.01010,0.01009
>10051	1	l3	-0.00972,0.02394,0.02102,-0.01163,-0.00906
>10051	1	l4	-0.00980,0.00003,0.02150,0.02163,-0.02545
>10051	1	l5	-0.00239,-0.02057,-0.01953,0.02313,0.02186
>10051	1	l6	0.02002,0.03744,0.00979,-0.00327,-0.01630
>10051	1	l7	0.01651,-0.03659,0.01670,-0.02599,0.00236
>10051	1	l8	0.00299,0.03449,-0.02559,-0.03842,-0.00116
>10052	1	l1	0.01977,-0.02690,0.01625,0.01300,-0.00717
>10052	1	l2	0.01029,0.00924,0.00454,0.00681,0.00168
>10052	1	l3	-0.00224,-0.01083,0.01061,-0.00436,-0.03000
>10052	1	l4	-0.01984,0.01031,-0.00212,-0.00435,0.00266
>10052	1	l5	-0.01181,-0.00944,0.00021,0.00360,-0.02166
>10052	1	l6	-0.02731,0.00919,-0.00869,0.01105,0.02931
>10052	1	l7	-0.01403,-0.00696,-0.02332,0.00048,0.01175
>10052	1	l8	-0.00112,0.00868,-0.01917,0.00350,0.01575
>10053	1	l1	0.00320,-0.02168,-0.01015,0.01662,-0.04576
>10053	1	l2	-0.01960,0.00842,-0.05233,0.00869,0.01732
>10053	1	l3	0.00597,0.02301,0.06412,0.00150,0.01938
>10053	1	l4	-0.01869,-0.03803,0.00399,0.00382,-0.04959
>10053	1	l5	-0.04915,0.01982,-0.09717,0.00397,0.05098
>10053	1	l6	0.05242,-0.01630,-0.00570,-0.04838,0.05990
>10053	1	l7	0.00000,0.00000,0.00000,0.00000,0.00000
>10053	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10054	1	l1	-0.02811,0.01028,-0.02282,-0.04160,0.02722
>10054	1	l2	-0.02142,-0.00624,0.00788,0.03893,0.02079
>10054	1	l3	0.04505,0.02798,-0.02753,-0.02751,0.02708
>10054	1	l4	-0.03378,0.02725,0.00167,0.01186,0.06364
>10054	1	l5	0.00177,-0.03752,0.14962,-0.00612,0.05484
>10054	1	l6	0.00000,0.00000,0.00000,0.00000,0.00000
>10054	1	l7	0.00000,0.00000,0.00000,0.00000,0.00000
>10054	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10055	1	l1	-0.02316,0.01388,-0.01783,-0.03423,0.01677
>10055	1	l2	-0.02891,-0.01385,0.00514,0.03002,0.00499
>10055	1	l3	0.04588,0.00081,-0.02048,-0.01511,0.02163
>10055	1	l4	-0.00242,0.01364,0.00118,0.00281,0.03223
>10055	1	l5	-0.02568,-0.01662,0.07680,0.00625,0.00723
>10055	1	l6	0.04398,-0.06664,0.00473,-0.01068,-0.05939
>10055	1	l7	0.00000,0.00000,0.00000,0.00000,0.00000
>10055	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10056	1	l1	-0.00183,-0.01114,-0.00596,-0.00924,-0.00184
>10056	1	l2	-0.00057,0.00220,0.01919,-0.01102,0.00581
>10056	1	l3	0.00634,0.00259,0.01191,0.02144,-0.01595
>10056	1	l4	-0.00101,-0.01056,-0.00699,-0.00977,0.00663
>10056	1	l5	-0.00598,0.00612,0.02698,0.00037,-0.00327
>10056	1	l6	-0.00416,0.00267,0.00142,0.00885,-0.03475
>10056	1	l7	0.00129,0.00940,0.04308,-0.00987,-0.00648
>10056	1	l8	0.00536,0.00728,0.01148,0.02627,-0.01391
>10057	1	l1	-0.00183,-0.00386,0.01119,0.00895,-0.00149
>10057	1	l2	-0.00986,0.03188,-0.00834,-0.00035,-0.01313
>10057	1	l3	-0.00642,-0.00325,-0.00836,0.00098,0.00858
>10057	1	l4	-0.00840,0.01665,-0.01794,0.00105,-0.00377
>10057	1	l5	-0.03708,0.00391,-0.00421,-0.00980,-0.01775
>10057	1	l6	-0.00420,0.00586,-0.00250,-0.00160,-0.00692
>10057	1	l7	0.02766,0.00219,0.01759,0.01296,-0.00364
>10057	1	l8	-0.00220,0.00729,0.03072,0.00193,0.00112
>10062	1	l1	-0.01278,-0.01188,-0.02703,-0.00899,0.01626
>10062	1	l2	0.00294,0.03430,0.01159,0.00230,0.01768
>10062	1	l3	0.00553,-0.00677,-0.04936,-0.02163,0.01675
>10062	1	l4	-0.00804,0.01042,-0.01076,0.01836,0.00139
>10062	1	l5	0.00130,0.01743,0.01018,-0.00972,0.03661
>10062	1	l6	0.00505,-0.02774,-0.00094,-0.00440,0.01003
>10062	1	l7	-0.00887,0.02038,0.08720,-0.01583,0.01437
>10062	1	l8	0.02755,-0.05106,-0.05207,0.02431,0.00143
>10084	1	l1	0.00166,0.02715,-0.00199,-0.00044,0.00132
